date,location,id,url,name
"August 16, 2014","Bangor, Maine, USA",167,http://www.fightmetric.com/event-details/fd7acf42bd6e7e95,UFC Fight Night: Bader vs Saint Preux
"July 26, 2014","San Jose, California, USA",168,http://www.fightmetric.com/event-details/05fbfe628658c538,UFC on Fox: Lawler vs Brown
"July 19, 2014","Dublin, Leinster, Ireland",169,http://www.fightmetric.com/event-details/073eee4e62f0d988,UFC Fight Night: McGregor vs Brandao
"July 16, 2014","Atlantic City, New Jersey, USA",170,http://www.fightmetric.com/event-details/79ded75550efc139,UFC Fight Night: Cerrone vs Miller
"July 06, 2014","Las Vegas, Nevada, USA",171,http://www.fightmetric.com/event-details/1c5879330d42255f,The Ultimate Fighter 19 Finale
"July 05, 2014","Las Vegas, Nevada, USA",172,http://www.fightmetric.com/event-details/53adf5b845d91e4a,UFC 175: Weidman vs Machida
"June 28, 2014","San Antonio, Texas, USA",173,http://www.fightmetric.com/event-details/c0ed7b208197e8de,UFC Fight Night: Swanson vs Stephens
"June 28, 2014","Auckland, New Zealand",174,http://www.fightmetric.com/event-details/ac9521250dc1a14c,UFC Fight Night: Te Huna vs Marquardt
"June 14, 2014","Vancouver, British Columbia, Canada",175,http://www.fightmetric.com/event-details/5b5307450405abf0,UFC 174: Johnson vs Bagautinov
"June 07, 2014","Albuquerque, New Mexico, USA",176,http://www.fightmetric.com/event-details/1fcfc3709fe58151,UFC Fight Night: Henderson vs Khabilov
"May 31, 2014","Sao Paulo, Brazil",177,http://www.fightmetric.com/event-details/59aaf2730b84698a,TUF Brazil Finale: Miocic vs Maldonado
"May 31, 2014","Berlin, Germany",178,http://www.fightmetric.com/event-details/b757c73f443d4fca,UFC Fight Night: Munoz vs Mousasi
"May 24, 2014","Las Vegas, Nevada, USA",179,http://www.fightmetric.com/event-details/9ca265dfe8323db3,UFC 173: Barao vs Dillashaw
"May 10, 2014","Cincinnati, Ohio, USA",180,http://www.fightmetric.com/event-details/579fcdfcabd23a7b,UFC Fight Night: Brown vs Silva
"April 26, 2014","Baltimore, Maryland, USA",181,http://www.fightmetric.com/event-details/4f2fcbefb668689d,UFC 172: Jones vs Teixeira
"April 19, 2014","Orlando, Florida, USA",182,http://www.fightmetric.com/event-details/a421465acbe59c77,UFC on Fox: Werdum vs Browne
"April 16, 2014","Quebec City, Quebec, Canada",183,http://www.fightmetric.com/event-details/f9f07bb5a43535ed,UFC Fight Night: Bisping vs Kennedy
"April 11, 2014","Abu Dhabi, United Arab Emirates",184,http://www.fightmetric.com/event-details/d632d156c0549e07,UFC Fight Night: Minotauro vs Nelson
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",185,http://www.fightmetric.com/event-details/d5f820c11a121050,UFC Fight Night: Shogun vs Henderson
"March 15, 2014","Dallas, Texas, USA",186,http://www.fightmetric.com/event-details/179f1948dc234f1f,UFC 171: Hendricks vs Lawler
"March 08, 2014","London, England, United Kingdom",187,http://www.fightmetric.com/event-details/ebc1f40e00e0c481,UFC Fight Night: Gustafsson vs Manuwa
"March 01, 2014","Macau, China",188,http://www.fightmetric.com/event-details/a26198ba5093147e,UFC Fight Night: Kim vs Hathaway
"February 22, 2014","Las Vegas, Nevada, USA",189,http://www.fightmetric.com/event-details/3138fab619faf4d1,UFC 170: Rousey vs McMann
"February 15, 2014","Jaragua do Sul, Santa Catarina, Brazil",190,http://www.fightmetric.com/event-details/51b0bb73a1da34bc,UFC Fight Night: Machida vs Mousasi
