nickname,id,name,url
"""Super""",178,Sage Northcutt,http://www.fightmetric.com/fighter-details/ed9d8ee3a4239b1c
"""The Barbarian""",179,Zak Ottow,http://www.fightmetric.com/fighter-details/47cd337b86b1af92
"""The Menace""",180,Dennis Bermudez,http://www.fightmetric.com/fighter-details/6f242453c91a5af0
"""The Gladiator""",181,Rick Glenn,http://www.fightmetric.com/fighter-details/814ff3018127e8fc
"""Rudeboy""",182,Randy Brown,http://www.fightmetric.com/fighter-details/c6aee362c7a7d482
"""Fury""",183,Myles Jury,http://www.fightmetric.com/fighter-details/08e908ed6d18d6a0
"""Money""",184,Chad Mendes,http://www.fightmetric.com/fighter-details/b5b684eac99ae0a3
"""Alpha""",185,Cat Zingano,http://www.fightmetric.com/fighter-details/3ecd936bd8814108
"""The Belizean Bruiser""",186,Marion Reneau,http://www.fightmetric.com/fighter-details/c7d297714d9ab1a4
,187,Eddie Wineland,http://www.fightmetric.com/fighter-details/fc9a9559a05f2704
"""Turbo""",188,Alejandro Perez,http://www.fightmetric.com/fighter-details/80daefbed11ce998
"""The Damage""",189,Darren Elkins,http://www.fightmetric.com/fighter-details/92a9aa9c93192871
"""The Great""",190,Alexander Volkanovski,http://www.fightmetric.com/fighter-details/e1248941344b3288
,191,Justin Scoggins,http://www.fightmetric.com/fighter-details/9fa568ad2bf2cb0b
,192,Said Nurmagomedov,http://www.fightmetric.com/fighter-details/0fd5f4b838e890cc
,193,Kurt Holobaugh,http://www.fightmetric.com/fighter-details/a7151778b3381036
,194,Raoni Barcelos,http://www.fightmetric.com/fighter-details/b9f28e7045fdfce7
"""Girlrilla""",195,Liz Carmouche,http://www.fightmetric.com/fighter-details/51a0c09cbe9b8472
,196,Jennifer Maia,http://www.fightmetric.com/fighter-details/8e1f36476ef02a6a
"""Bumblebee""",197,Mark De La Rosa,http://www.fightmetric.com/fighter-details/f57dd0bfa8c17813
,198,Elias Garcia,http://www.fightmetric.com/fighter-details/ac5a7400da3a9a41
"""Jag""",199,Jessica Aguilar,http://www.fightmetric.com/fighter-details/8f382b3baa954d2a
,200,Jodie Esquibel,http://www.fightmetric.com/fighter-details/411539901068522f
,201,Stipe Miocic,http://www.fightmetric.com/fighter-details/d28dee5c705991df
"""DC""",202,Daniel Cormier,http://www.fightmetric.com/fighter-details/d967f0128c323de6
"""The Predator""",203,Francis Ngannou,http://www.fightmetric.com/fighter-details/8d03ce87ca14e778
"""The Black Beast""",204,Derrick Lewis,http://www.fightmetric.com/fighter-details/d3df1add9d9a7efb
"""The Irish Dragon""",205,Paul Felder,http://www.fightmetric.com/fighter-details/e5010b1b94ca5755
"""Platinum""",206,Mike Perry,http://www.fightmetric.com/fighter-details/f2b6fdb20675b11c
"""Maverick""",207,Michael Chiesa,http://www.fightmetric.com/fighter-details/c58f51dedb310998
"""Showtime""",208,Anthony Pettis,http://www.fightmetric.com/fighter-details/cbb682f5fcc44bfc
"""The Rebel""",209,Gokhan Saki,http://www.fightmetric.com/fighter-details/4690d47bf725fd98
"""The War Horse""",210,Khalil Rountree Jr.,http://www.fightmetric.com/fighter-details/749f572d1d3161fb
"""Prime Time""",211,Uriah Hall,http://www.fightmetric.com/fighter-details/65578a75fa7900e3
"""The Eraser""",212,Paulo Costa,http://www.fightmetric.com/fighter-details/2e5c2aa8e4ab9d82
,213,Raphael Assuncao,http://www.fightmetric.com/fighter-details/2f13e4020cea5b38
,214,Rob Font,http://www.fightmetric.com/fighter-details/05339613bf8e9808
"""Groovy""",215,Lando Vannata,http://www.fightmetric.com/fighter-details/f9b200db02b488d9
,216,Drakkar Klose,http://www.fightmetric.com/fighter-details/7cbf7c78d3b34218
"""Curtious""",217,Curtis Millender,http://www.fightmetric.com/fighter-details/f1928a52590c5532
"""Pain""",218,Max Griffin,http://www.fightmetric.com/fighter-details/b0d6a1d8ac3d563d
"""The Hangman""",219,Dan Hooker,http://www.fightmetric.com/fighter-details/193b9d1858bc4df3
"""Durinho""",220,Gilbert Burns,http://www.fightmetric.com/fighter-details/23024fdfc966410a
,221,Jamie Moyle,http://www.fightmetric.com/fighter-details/882d62561063a927
"""Spitfire""",222,Emily Whitmire,http://www.fightmetric.com/fighter-details/b3d21b2610dcfaeb
,223,Brad Tavares,http://www.fightmetric.com/fighter-details/0c6d9ea8306c029e
"""The Last Stylebender""",224,Israel Adesanya,http://www.fightmetric.com/fighter-details/1338e2c7480bdf9e
"""The Lone Wolf""",225,Michael Trizano,http://www.fightmetric.com/fighter-details/5bf31a46becc1204
"""Skeletor""",226,Joe Giannetti,http://www.fightmetric.com/fighter-details/946db8a378903cc3
"""Mellow Fellow""",227,Jay Cucciniello,http://www.fightmetric.com/fighter-details/683ea28a198936fe
"""Superman""",228,Brad Katona,http://www.fightmetric.com/fighter-details/7b433309b0fd12aa
"""Bruce Leeroy""",229,Alex Caceres,http://www.fightmetric.com/fighter-details/7aa3d6964eff4877
"""El Toro""",230,Martin Bravo,http://www.fightmetric.com/fighter-details/9c44f290f5726d95
"""The Happy Warrior""",231,Roxanne Modafferi,http://www.fightmetric.com/fighter-details/4498b382c65a7faa
"""Little Warrior""",232,Barb Honchak,http://www.fightmetric.com/fighter-details/472f6f6e6d962f40
"""Manzo""",233,Alessio Di Chirico,http://www.fightmetric.com/fighter-details/77d7295d1b22c694
"""The Cuban Missle Crisis""",234,Julian Marquez,http://www.fightmetric.com/fighter-details/d0e1b42d41dab603
,235,Montana De La Rosa,http://www.fightmetric.com/fighter-details/80d8aed0ca9b00f3
,236,Rachael Ostovich,http://www.fightmetric.com/fighter-details/01784fbc27c68b14
"""Violent Bob Ross""",237,Luis Pena,http://www.fightmetric.com/fighter-details/2844b047183a1adb
,238,Richie Smullen,http://www.fightmetric.com/fighter-details/f75c5ca0d91b9115
"""The Machine""",239,John Gunther,http://www.fightmetric.com/fighter-details/3956bdc8ab2e54b3
"""Tigre""",240,Allan Zuniga,http://www.fightmetric.com/fighter-details/523af801b3429015
,241,Tyler Diamond,http://www.fightmetric.com/fighter-details/f5f6419c5f00abad
"""Thug Nasty""",242,Bryce Mitchell,http://www.fightmetric.com/fighter-details/d9c6f19f958643e9
"""The Mangler""",243,Matt Bessette,http://www.fightmetric.com/fighter-details/0b8d512c79b4baf3
"""Ocho""",244,Steven Peterson,http://www.fightmetric.com/fighter-details/b93c06d09d1c4ac0
"""GM3""",245,Gerald Meerschaert,http://www.fightmetric.com/fighter-details/6ac9bc2953c47345
"""Imadlo""",246,Oskar Piechota,http://www.fightmetric.com/fighter-details/1cf7ccf64a5bf24e
"""Cowboy""",247,Donald Cerrone,http://www.fightmetric.com/fighter-details/1d00756835ca67c9
"""Rocky""",248,Leon Edwards,http://www.fightmetric.com/fighter-details/f1fac969a1d70b08
,249,Ovince Saint Preux,http://www.fightmetric.com/fighter-details/50db8711c70196cd
,250,Tyson Pedro,http://www.fightmetric.com/fighter-details/49e96ff8ab781589
"""Jessy Jess""",251,Jessica-Rose Clark,http://www.fightmetric.com/fighter-details/6c8072b61c276e67
"""Evil""",252,Jessica Eye,http://www.fightmetric.com/fighter-details/f72465a784c1b084
"""The Leech""",253,Li Jingliang,http://www.fightmetric.com/fighter-details/e64b96c07d7ce999
,254,Daichi Abe,http://www.fightmetric.com/fighter-details/5140122c3eecd307
